0,0,D0:F0:18:43:F8:2F,-86,1598515836763
1,1,D0:F0:18:43:F8:49,-40,1598515836772
0,2,D0:F0:18:43:F8:49,-41,1598515837266
0,3,D0:F0:18:43:F8:2F,-76,1598515837777
1,4,D0:F0:18:43:F8:49,-41,1598515837782
0,5,D0:F0:18:43:F8:2F,-83,1598515838283
1,6,D0:F0:18:43:F8:49,-41,1598515838286
0,7,D0:F0:18:43:F8:2F,-84,1598515838807
1,8,D0:F0:18:43:F8:49,-41,1598515838815
0,9,D0:F0:18:43:F8:2F,-76,1598515839309
1,10,D0:F0:18:43:F8:49,-40,1598515839312
0,11,D0:F0:18:43:F8:2F,-80,1598515839834
1,12,D0:F0:18:43:F8:49,-41,1598515839843
0,13,D0:F0:18:43:F8:2F,-77,1598515840354
1,14,D0:F0:18:43:F8:49,-41,1598515840361
0,15,D0:F0:18:43:F8:2F,-81,1598515840874
1,16,D0:F0:18:43:F8:49,-41,1598515840882
0,17,D0:F0:18:43:F8:2F,-83,1598515841400
1,18,D0:F0:18:43:F8:49,-41,1598515841408
0,19,D0:F0:18:43:F8:2F,-77,1598515841920
1,20,D0:F0:18:43:F8:49,-40,1598515841928
0,21,D0:F0:18:43:F8:2F,-82,1598515842444
1,22,D0:F0:18:43:F8:49,-41,1598515842452
0,23,D0:F0:18:43:F8:2F,-82,1598515842968
1,24,D0:F0:18:43:F8:49,-41,1598515842976
0,25,D0:F0:18:43:F8:2F,-83,1598515843492
1,26,D0:F0:18:43:F8:49,-41,1598515843501
0,27,D0:F0:18:43:F8:2F,-76,1598515844011
1,28,D0:F0:18:43:F8:49,-41,1598515844019
0,29,D0:F0:18:43:F8:2F,-82,1598515844529
1,30,D0:F0:18:43:F8:49,-41,1598515844537
0,31,D0:F0:18:43:F8:2F,-83,1598515845053
1,32,D0:F0:18:43:F8:49,-41,1598515845060
0,33,D0:F0:18:43:F8:2F,-76,1598515845571
1,34,D0:F0:18:43:F8:49,-40,1598515845578
0,35,D0:F0:18:43:F8:2F,-82,1598515846093
1,36,D0:F0:18:43:F8:49,-41,1598515846101
0,37,D0:F0:18:43:F8:2F,-76,1598515846611
1,38,D0:F0:18:43:F8:49,-41,1598515846619
0,39,D0:F0:18:43:F8:49,-41,1598515847116
0,40,D0:F0:18:43:F8:2F,-76,1598515847621
1,41,D0:F0:18:43:F8:49,-41,1598515847625
0,42,D0:F0:18:43:F8:2F,-82,1598515848137
1,43,D0:F0:18:43:F8:49,-40,1598515848145
0,44,D0:F0:18:43:F8:2F,-76,1598515848653
1,45,D0:F0:18:43:F8:49,-41,1598515848660
0,46,D0:F0:18:43:F8:2F,-76,1598515849172
1,47,D0:F0:18:43:F8:49,-43,1598515849180
0,48,D0:F0:18:43:F8:2F,-83,1598515849681
1,49,D0:F0:18:43:F8:49,-41,1598515849690
0,50,D0:F0:18:43:F8:2F,-76,1598515850193
0,51,D0:F0:18:43:F8:2F,-81,1598515850707
1,52,D0:F0:18:43:F8:49,-40,1598515850715
0,53,D0:F0:18:43:F8:2F,-76,1598515851221
1,54,D0:F0:18:43:F8:49,-41,1598515851228
0,55,D0:F0:18:43:F8:2F,-76,1598515851734
1,56,D0:F0:18:43:F8:49,-41,1598515851741
0,57,D0:F0:18:43:F8:2F,-83,1598515852247
1,58,D0:F0:18:43:F8:49,-41,1598515852255
0,59,D0:F0:18:43:F8:49,-41,1598515852762
0,60,D0:F0:18:43:F8:2F,-82,1598515853273
1,61,D0:F0:18:43:F8:49,-40,1598515853280
0,62,D0:F0:18:43:F8:2F,-84,1598515853787
1,63,D0:F0:18:43:F8:49,-41,1598515853795
0,64,D0:F0:18:43:F8:2F,-76,1598515854300
1,65,D0:F0:18:43:F8:49,-40,1598515854307
0,66,D0:F0:18:43:F8:2F,-83,1598515854815
1,67,D0:F0:18:43:F8:49,-41,1598515854822
0,68,D0:F0:18:43:F8:2F,-83,1598515855327
1,69,D0:F0:18:43:F8:49,-41,1598515855335
0,70,D0:F0:18:43:F8:2F,-82,1598515855841
1,71,D0:F0:18:43:F8:49,-41,1598515855848
0,72,D0:F0:18:43:F8:2F,-84,1598515856356
1,73,D0:F0:18:43:F8:49,-41,1598515856364
0,74,D0:F0:18:43:F8:2F,-76,1598515856871
1,75,D0:F0:18:43:F8:49,-40,1598515856879
0,76,D0:F0:18:43:F8:2F,-76,1598515857390
1,77,D0:F0:18:43:F8:49,-41,1598515857397
0,78,D0:F0:18:43:F8:2F,-76,1598515857901
1,79,D0:F0:18:43:F8:49,-42,1598515857909
0,0,D0:F0:18:43:F8:2F,-86,1598515869181
1,1,D0:F0:18:43:F8:49,-57,1598515869189
0,2,D0:F0:18:43:F8:49,-56,1598515869681
0,3,D0:F0:18:43:F8:2F,-84,1598515870195
1,4,D0:F0:18:43:F8:49,-55,1598515870202
0,5,D0:F0:18:43:F8:2F,-87,1598515870709
1,6,D0:F0:18:43:F8:49,-57,1598515870717
0,7,D0:F0:18:43:F8:2F,-91,1598515871219
1,8,D0:F0:18:43:F8:49,-57,1598515871230
0,9,D0:F0:18:43:F8:49,-55,1598515871734
0,10,D0:F0:18:43:F8:2F,-86,1598515872250
1,11,D0:F0:18:43:F8:49,-58,1598515872258
0,12,D0:F0:18:43:F8:2F,-87,1598515872768
1,13,D0:F0:18:43:F8:49,-57,1598515872775
0,14,D0:F0:18:43:F8:2F,-87,1598515873278
1,15,D0:F0:18:43:F8:49,-55,1598515873285
0,16,D0:F0:18:43:F8:2F,-90,1598515873791
1,17,D0:F0:18:43:F8:49,-58,1598515873799
0,18,D0:F0:18:43:F8:2F,-91,1598515874304
1,19,D0:F0:18:43:F8:49,-57,1598515874311
0,20,D0:F0:18:43:F8:49,-57,1598515874814
0,21,D0:F0:18:43:F8:2F,-86,1598515875326
1,22,D0:F0:18:43:F8:49,-55,1598515875333
0,23,D0:F0:18:43:F8:49,-57,1598515875836
0,24,D0:F0:18:43:F8:2F,-86,1598515876347
1,25,D0:F0:18:43:F8:49,-57,1598515876353
0,26,D0:F0:18:43:F8:49,-57,1598515876857
0,27,D0:F0:18:43:F8:2F,-92,1598515877375
1,28,D0:F0:18:43:F8:49,-57,1598515877383
0,29,D0:F0:18:43:F8:2F,-86,1598515877885
1,30,D0:F0:18:43:F8:49,-55,1598515877892
0,31,D0:F0:18:43:F8:49,-57,1598515878399
0,32,D0:F0:18:43:F8:2F,-87,1598515879420
0,33,D0:F0:18:43:F8:2F,-91,1598515879930
1,34,D0:F0:18:43:F8:49,-57,1598515879940
0,35,D0:F0:18:43:F8:2F,-86,1598515880448
1,36,D0:F0:18:43:F8:49,-57,1598515880458
0,37,D0:F0:18:43:F8:49,-57,1598515880956
0,38,D0:F0:18:43:F8:2F,-90,1598515881465
1,39,D0:F0:18:43:F8:49,-55,1598515881472
0,40,D0:F0:18:43:F8:2F,-87,1598515881977
1,41,D0:F0:18:43:F8:49,-57,1598515881984
0,42,D0:F0:18:43:F8:49,-57,1598515882487
0,43,D0:F0:18:43:F8:2F,-86,1598515882997
1,44,D0:F0:18:43:F8:49,-57,1598515883004
0,45,D0:F0:18:43:F8:49,-57,1598515883507
0,46,D0:F0:18:43:F8:49,-55,1598515884017
0,47,D0:F0:18:43:F8:2F,-85,1598515884528
0,48,D0:F0:18:43:F8:49,-57,1598515885037
0,49,D0:F0:18:43:F8:2F,-85,1598515885547
1,50,D0:F0:18:43:F8:49,-57,1598515885553
0,51,D0:F0:18:43:F8:2F,-85,1598515886062
1,52,D0:F0:18:43:F8:49,-57,1598515886069
0,53,D0:F0:18:43:F8:2F,-86,1598515887080
1,54,D0:F0:18:43:F8:49,-57,1598515887088
0,55,D0:F0:18:43:F8:2F,-86,1598515887590
1,56,D0:F0:18:43:F8:49,-55,1598515887596
0,57,D0:F0:18:43:F8:49,-57,1598515888100
0,58,D0:F0:18:43:F8:2F,-87,1598515888610
1,59,D0:F0:18:43:F8:49,-57,1598515888617
0,60,D0:F0:18:43:F8:49,-55,1598515889123
0,61,D0:F0:18:43:F8:2F,-87,1598515889631
1,62,D0:F0:18:43:F8:49,-57,1598515889637
0,63,D0:F0:18:43:F8:2F,-87,1598515890143
1,64,D0:F0:18:43:F8:49,-56,1598515890150
0,65,D0:F0:18:43:F8:49,-57,1598515890650
0,66,D0:F0:18:43:F8:49,-57,1598515891157
0,67,D0:F0:18:43:F8:49,-55,1598515891667
0,68,D0:F0:18:43:F8:2F,-86,1598515892174
1,69,D0:F0:18:43:F8:49,-57,1598515892180
0,70,D0:F0:18:43:F8:2F,-89,1598515892684
1,71,D0:F0:18:43:F8:49,-58,1598515892690
0,72,D0:F0:18:43:F8:2F,-87,1598515893193
1,73,D0:F0:18:43:F8:49,-57,1598515893199
0,74,D0:F0:18:43:F8:2F,-92,1598515894209
1,75,D0:F0:18:43:F8:49,-57,1598515894216
0,76,D0:F0:18:43:F8:2F,-91,1598515894718
1,77,D0:F0:18:43:F8:49,-56,1598515894724
0,78,D0:F0:18:43:F8:2F,-91,1598515895228
1,79,D0:F0:18:43:F8:49,-55,1598515895234
0,0,D0:F0:18:43:F8:2F,-86,1598515901836
1,1,D0:F0:18:43:F8:49,-72,1598515901839
0,2,D0:F0:18:43:F8:49,-68,1598515902345
0,3,D0:F0:18:43:F8:2F,-83,1598515902854
1,4,D0:F0:18:43:F8:49,-67,1598515902860
0,5,D0:F0:18:43:F8:49,-71,1598515903362
0,6,D0:F0:18:43:F8:49,-67,1598515903871
0,7,D0:F0:18:43:F8:2F,-82,1598515904380
1,8,D0:F0:18:43:F8:49,-66,1598515904386
0,9,D0:F0:18:43:F8:2F,-86,1598515904882
1,10,D0:F0:18:43:F8:49,-71,1598515904885
0,11,D0:F0:18:43:F8:2F,-87,1598515905901
1,12,D0:F0:18:43:F8:49,-83,1598515905909
0,13,D0:F0:18:43:F8:49,-65,1598515906408
0,14,D0:F0:18:43:F8:2F,-81,1598515906910
1,15,D0:F0:18:43:F8:49,-70,1598515906913
0,16,D0:F0:18:43:F8:2F,-89,1598515907422
1,17,D0:F0:18:43:F8:49,-82,1598515907428
0,18,D0:F0:18:43:F8:2F,-81,1598515908439
1,19,D0:F0:18:43:F8:49,-70,1598515908446
0,20,D0:F0:18:43:F8:2F,-82,1598515908950
1,21,D0:F0:18:43:F8:49,-80,1598515908958
0,22,D0:F0:18:43:F8:2F,-87,1598515909460
1,23,D0:F0:18:43:F8:49,-65,1598515909466
