0,0,D0:F0:18:43:F8:49,-33,1598446809617
0,1,D0:F0:18:43:F8:49,-33,1598446810120
1,2,D0:F0:18:43:F8:2F,-70,1598446810121
0,3,D0:F0:18:43:F8:2F,-67,1598446810629
0,4,D0:F0:18:43:F8:49,-33,1598446811643
1,5,D0:F0:18:43:F8:2F,-67,1598446811645
0,6,D0:F0:18:43:F8:49,-33,1598446812152
1,7,D0:F0:18:43:F8:2F,-67,1598446812154
0,8,D0:F0:18:43:F8:49,-33,1598446812660
1,9,D0:F0:18:43:F8:2F,-67,1598446812662
0,10,D0:F0:18:43:F8:2F,-67,1598446813166
0,11,D0:F0:18:43:F8:49,-33,1598446813674
0,12,D0:F0:18:43:F8:49,-33,1598446814182
1,13,D0:F0:18:43:F8:2F,-66,1598446814185
0,14,D0:F0:18:43:F8:49,-33,1598446814690
1,15,D0:F0:18:43:F8:2F,-67,1598446814695
0,16,D0:F0:18:43:F8:49,-33,1598446815199
1,17,D0:F0:18:43:F8:2F,-69,1598446815201
0,18,D0:F0:18:43:F8:2F,-66,1598446815706
0,19,D0:F0:18:43:F8:49,-33,1598446816215
1,20,D0:F0:18:43:F8:2F,-67,1598446816217
0,21,D0:F0:18:43:F8:49,-33,1598446816723
1,22,D0:F0:18:43:F8:2F,-67,1598446816726
0,23,D0:F0:18:43:F8:49,-33,1598446817232
1,24,D0:F0:18:43:F8:2F,-69,1598446817235
0,25,D0:F0:18:43:F8:49,-32,1598446817741
1,26,D0:F0:18:43:F8:2F,-69,1598446817744
0,27,D0:F0:18:43:F8:49,-33,1598446818752
1,28,D0:F0:18:43:F8:2F,-67,1598446818755
0,29,D0:F0:18:43:F8:49,-33,1598446819261
1,30,D0:F0:18:43:F8:2F,-66,1598446819264
0,31,D0:F0:18:43:F8:49,-33,1598446819771
1,32,D0:F0:18:43:F8:2F,-69,1598446819774
0,33,D0:F0:18:43:F8:49,-33,1598446820787
1,34,D0:F0:18:43:F8:2F,-68,1598446820790
0,35,D0:F0:18:43:F8:49,-32,1598446821796
0,36,D0:F0:18:43:F8:2F,-70,1598446822305
0,37,D0:F0:18:43:F8:49,-33,1598446822813
0,38,D0:F0:18:43:F8:49,-32,1598446823321
1,39,D0:F0:18:43:F8:2F,-68,1598446823324
0,40,D0:F0:18:43:F8:49,-33,1598446823830
1,41,D0:F0:18:43:F8:2F,-70,1598446823833
0,42,D0:F0:18:43:F8:49,-33,1598446824338
0,43,D0:F0:18:43:F8:49,-32,1598446824848
1,44,D0:F0:18:43:F8:2F,-69,1598446824851
0,45,D0:F0:18:43:F8:49,-33,1598446825358
1,46,D0:F0:18:43:F8:2F,-67,1598446825360
0,47,D0:F0:18:43:F8:49,-33,1598446825866
1,48,D0:F0:18:43:F8:2F,-67,1598446825869
0,49,D0:F0:18:43:F8:49,-33,1598446826374
0,50,D0:F0:18:43:F8:49,-33,1598446826882
1,51,D0:F0:18:43:F8:2F,-67,1598446826885
0,52,D0:F0:18:43:F8:49,-33,1598446827392
1,53,D0:F0:18:43:F8:2F,-69,1598446827395
