0,0,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,1,0,D0:F0:18:43:F8:2F,-71,1.59845E+12
0,2,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,3,0,D0:F0:18:43:F8:2F,-69,1.59845E+12
0,4,0,D0:F0:18:43:F8:49,-34,1.59845E+12
1,5,0,D0:F0:18:43:F8:2F,-70,1.59845E+12
0,6,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,7,0,D0:F0:18:43:F8:2F,-66,1.59845E+12
0,8,0,D0:F0:18:43:F8:49,-34,1.59845E+12
1,9,0,D0:F0:18:43:F8:2F,-66,1.59845E+12
0,10,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,11,0,D0:F0:18:43:F8:2F,-66,1.59845E+12
0,12,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,13,0,D0:F0:18:43:F8:2F,-65,1.59845E+12
0,14,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,15,0,D0:F0:18:43:F8:2F,-65,1.59845E+12
0,16,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,17,0,D0:F0:18:43:F8:2F,-67,1.59845E+12
0,18,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,19,0,D0:F0:18:43:F8:2F,-66,1.59845E+12
0,20,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,21,0,D0:F0:18:43:F8:2F,-67,1.59845E+12
0,22,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,23,0,D0:F0:18:43:F8:2F,-67,1.59845E+12
0,24,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,25,0,D0:F0:18:43:F8:2F,-65,1.59845E+12
0,26,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,27,0,D0:F0:18:43:F8:2F,-68,1.59845E+12
0,28,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,29,0,D0:F0:18:43:F8:2F,-66,1.59845E+12
0,30,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,31,0,D0:F0:18:43:F8:2F,-67,1.59845E+12
0,32,0,D0:F0:18:43:F8:49,-34,1.59845E+12
1,33,0,D0:F0:18:43:F8:2F,-67,1.59845E+12
0,34,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,35,0,D0:F0:18:43:F8:2F,-65,1.59845E+12
0,36,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,37,0,D0:F0:18:43:F8:2F,-67,1.59845E+12
0,38,0,D0:F0:18:43:F8:49,-33,1.59845E+12
0,39,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,40,0,D0:F0:18:43:F8:2F,-65,1.59845E+12
0,41,0,D0:F0:18:43:F8:49,-33,1.59845E+12
1,42,0,D0:F0:18:43:F8:2F,-67,1.59845E+12
0,43,0,D0:F0:18:43:F8:2F,-65,1.59845E+12
